股票名字;日期;<1万买;<1万卖;1万~2万买;1万~2万卖;2万~3万买;2万~3万卖;3万~4万买;3万~4万卖;4万~5万买;4万~5万卖;5万~6万买;5万~6万卖;6万~7万买;6万~7万卖;7万~8万买;7万~8万卖;8万~9万买;8万~9万卖;9万~10万买;9万~10万卖;10万~20万买;10万~20万卖;20万~30万买;20万~30万卖;30万~40万买;30万~40万卖;40万~50万买;40万~50万卖;50万~60万买;50万~60万卖;60万~70万买;60万~70万卖;70万~80万买;70万~80万卖;80万~90万买;80万~90万卖;90万~100万买;90万~100万卖;>100万买;>100万卖
000005.SZ;20160501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160503;45647462;24912965;6173545;4711658;2217110;1858402;929950;1393000;0;0;350000;350000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160504;36871471;35888860;7015078;5188519;1882545;1608600;735000;758100;653100;0;750400;1421700;0;434000;0;490700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160505;21150591;30892918;3480666;4629310;1979691;1868615;493969;704900;310800;1207605;0;0;0;441343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160506;30442552;65286963;4032602;10125640;1665307;3906924;457800;2598456;1204462;295400;1400000;365190;0;445900;0;518700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160509;26791144;44819664;5454790;7868742;1037400;3405600;991800;1752000;0;553800;641400;1281000;0;753882;0;420000;0;480000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160510;18705078;17724294;3290400;3360006;1636674;1207404;386400;180000;0;535800;319800;0;0;403200;0;0;480000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160511;12593472;18066558;1861200;2537736;381600;505392;0;0;571200;240000;0;600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160512;18765966;20878962;3999630;4064574;1677096;979998;360000;379800;778296;520800;617028;0;0;0;0;426600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160513;90054950;127877371;15518246;27199445;6279426;11873066;3037600;6221407;2296058;3895094;1669600;1887823;0;1295294;952800;1040200;0;493200;630000;1338694;0;8666182;0;0;0;4776184;0;0;0;3768177;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160516;55252078;64445599;10678635;15572694;5762599;8765934;1484400;5321100;2840400;2388546;1943600;2781600;779400;767400;905400;472200;0;488400;0;1731324;2640840;4505158;1380000;2400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160517;66830336;74922204;14262995;13170167;4182989;5824368;1230000;2824500;831000;1139000;1700000;1088200;450800;826100;432000;490000;0;0;0;662165;0;1036700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160518;28789674;56709186;4917726;8545704;1815192;3255126;1009758;2544900;830640;784764;300000;300000;360000;0;0;0;494556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
